"GOOG","Google Inc.",294.6B,887.88,26.57
"FB","Facebook, Inc.",59.988B,24.81,539.35
"AAPL","Apple Inc.",384.1B,409.22,9.77
"YHOO","Yahoo! Inc.",27.326B,25.24,7.32
"MSFT","Microsoft Corpora",286.9B,34.36,17.73
"LNKD","LinkedIn Corporat",20.209B,183.11,709.73
"CRM","Salesforce.com In",22.302B,37.80,N/A
